OBJECTID,NOME STRUTTURA,DESCRIZIONE,TIPO ATTIVITA',TIPO STRUTTURA,PRONTO SOCCORSO,PRONTO SOCCORSO PEDIATRICO,PUNTO DI PRIMO INTERVENTO,STRUTTURA  ACCREDITATA,INDIRIZZO,CAP,COMUNE,PROVINCIA,CODICE ATS,ATS,CODICE ASST,ASST,CODICE DISTRETTO SANITARIO,DISTRETTO SANITARIO,N° TELEFONO,LATITUDINE,LONGITUDINE
23,COMUNITA' OASI GERICO ONLUS,CENTRO MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PRIVATA,N/A,N/A,N/A,SI,VIA DEL CONVENTINO,3,24125,BERGAMO,BG,030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,859,BERGAMO,035421941,45.6864,9.67439
24,SRP3 - C.P.B. CASCINA GERMOGLIO 1,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA SOLFERINO,51,24049,VERDELLO,BG,030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,860,DALMINE,0354813814,45.6125963,9.6255489
25,COMUNITA' EMMAUS - CASA RAPHAEL,CENTRO MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PRIVATA,N/A,N/A,N/A,SI,VIA DELLA CALVAROLA,2,24020,TORRE BOLDONE,BG,030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,859,BERGAMO,0354124386,45.7182,9.6996
26,SRP1 - C.R.M. LA BONNE SEMENCE,COMUNITA' RIABILITATIVA PSICHIATRICA A MEDIA ASSISTENZA,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA DRAGO,1760,24013,OLTRE IL COLLE,BG,030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,863,VALLE BREMBANA/VALLE IMAGNA,034551756,45.8881246,9.7713256
27,TERME DI SANT'OMOBONO,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,VIALE ALLE FONTI,117,24038,SANT'OMOBONO TERME,BG,030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,863,VALLE BREMBANA/VALLE IMAGNA,035851114,45.82198,9.51056
28,SRP3 - C.P.B. CASCINA GERMOGLIO 2,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA SOLFERINO,51,24049,VERDELLO,BG,030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,860,DALMINE,0354813814,45.6125963,9.6255489
29,SRP2 - C.P.A. LOGOS 4,COMUNITA' PROTETTA PSICHIATRICA ALTA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA DELLE CANOVINE,15,24126,BERGAMO,BG,030325,ATS DI BERGAMO,030718,ASST PAPA GIOVANNI XXIII,859,BERGAMO,035315352,45.68058,9.66412
30,RAGGIO DI LUNA,CENTRO DIURNO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA ING.GIOVANNI QUARENA,10,25081,BEDIZZOLE,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,871,GARDA,0307282775,45.51205,10.42701
31,TERME CASTELLO DI VALLIO,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,VIA SOPRANICO,17,25080,VALLIO TERME,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,875,VALLE SABBIA,0365370021,45.61108,10.40431
32,SANTA MARIA CENTRO ANALISI CHIMICO CLINICHE,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA PROVINCIALE,77/E,25079,VOBARNO,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,875,VALLE SABBIA,0365596971,45.6461,10.49916
33,TERME SIRMIONE,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,PIAZZA VIRGILIO,1,25019,SIRMIONE,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,871,GARDA,03091681,45.46299203,10.60952344
34,STUDIO MALATTIE EPATO-METAB. LAB. ANALISI CLINICHE,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA RODI,49,25124,BRESCIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,868,BRESCIA,0302425431,45.52363,10.2084
35,DOMINATO LEONENSE SANITA',AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,PIAZZA DONATORI DI SANGUE,25024,LENO,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,865,BASSA BRESCIANA CENTR.,0309040511,45.36551,10.21723
36,SRP3 - CPB GIOVANNI BORGHETTI,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA TREPOLA,197,25035,OSPITALETTO,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,870,BRESCIA OVEST,0307282733,45.54488,10.09237
37,SRP3 - CPB CASA MARCONI,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA GUGLIELMO MARCONI,33,25010,VISANO,BS,030326,ATS DI BRESCIA,030723,ASST DEL GARDA,867,BASSA BRESCIANA ORIENT.,0309952931,45.31665,10.37066
38,COMUNITA' ALLOGGIO BASSA INTESITA' ASSISTENZ. "PAPA GIOVANNI XXIII",CENTRO MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PRIVATA,N/A,N/A,N/A,SI,VIA DEI TOSCANI,8,46010,CURTATONE,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,037649951,45.1338743,10.720109
39,ASS.TENDA DI CRISTO-TENDA3,CENTRO MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PRIVATA,N/A,N/A,N/A,SI,STRADA GIALDINE,10,26036,RIVAROLO DEL RE ED UNITI,CR,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,880,CREMONA,0375535163,45.04701,10.45657
40,CENTRO TERMALE AIRONE,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,LOCALITA' MUSSOLINA,2/B,46044,GOITO,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,0376686825,45.227596,10.661282
41,BIANALISI "FLEMING" S.R.L.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,CORSO VITTORIO EMANUELE II,52,46100,MANTOVA,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,0376368446,45.15743,10.78717
42,COMUNITA' ALLOGGIO "PICCOLO RIFUGIO DELL'INCORONATA",CENTRO MALATTIE INFETTIVE,ASSISTENZA MALATTIE INFETTIVE,PRIVATA,N/A,N/A,N/A,SI,VIA DEI TOSCANI,8,46010,CURTATONE,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,037649951,45.1338743,10.720109
43,ASS.TENDA DI CRISTO-TENDA4,SERVIZI RESIDENZIALI E SEMIRESIDENZIALI AREA DIPENDENZE,ASSISTENZA TOSSICODIPENDENZA,PRIVATA,N/A,N/A,N/A,SI,VIA FAVORITA,11,26037,SAN GIOVANNI IN CROCE,CR,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,880,CREMONA,0375980698,45.07732,10.37364
44,COMUNITA'PAPA GIOVANNI XXIII,SERVIZI RESIDENZIALI E SEMIRESIDENZIALI AREA DIPENDENZE,ASSISTENZA TOSSICODIPENDENZA,PRIVATA,N/A,N/A,N/A,SI,VIA TRIESTE,33,26010,CAMISANO,CR,030327,ATS DELLA VAL PADANA,030726,ASST DI CREMA,879,CREMA,05415471,45.4454704,9.7437081
45,LAMB. DI DELICATI ROSSANA E C.,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA ARTURO TOSCANINI,41,46043,CASTIGLIONE DELLE STIVIERE,MN,030327,ATS DELLA VAL PADANA,030725,ASST DI MANTOVA,882,MANTOVA,0376630345,45.3927684,10.4700749
46,TERME PRESIDENT S.R.L.,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,VIA DON LORENZO PEROSI,5,27052,GODIASCO SALICE TERME,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,894,VOGHERA-VARZI,038392341,44.9145571,9.0210343
47,TERME DI RIVANAZZANO,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,CORSO REPUBBLICA,2,27055,RIVANAZZANO TERME,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,894,VOGHERA-VARZI,038391250,44.9318,9.01351
48,TERME MIRADOLO S.R.L.,CENTRO DI ASSISTENZA IDROTERMALE,ASSSITENZA IDROTERMALE,PRIVATA,N/A,N/A,N/A,SI,PIAZZALE TERME,7,27010,MIRADOLO TERME,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,889,CORTEOLONA,038277012,45.1901581,9.4250423
49,LABORATORIO LAM SANT'AMBROGIO SRL,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA LEONARDO DA VINCI,20,27029,VIGEVANO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,893,VIGEVANO,038177469,45.31971,8.86434
50,CD - PSICHIATRIA - PLEBISCITI,CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,CORSO PLEBISCITI,6,20129,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,895,MUNICIPIO 3,0264445046,45.4678117,9.2194423
51,SRP1 - CRM "LITTA 1" - PSICHIATRIA 1,COMUNITA' RIABILITATIVA PSICHIATRICA A MEDIA ASSISTENZA,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ALESSANDRO LITTA MODIGNANI,61,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445343,45.5224006,9.1583723
52,AMB. OSPEDALIERO - PSICHIATRIA 1 - CONSULENZA MMG,AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,PIAZZA DELL'OSPEDALE MAGGIORE,3,20162,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264442143,45.5092318,9.1886947
53,CPS - "MARIO BIANCO" - PSICHIATRIA 2,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MARIO BIANCO,13/A,20131,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,895,MUNICIPIO 3,0264445045,45.488,9.22919
54,PRESIDIO OSPEDALIERO S.CARLO BORROMEO-NEUROPSICHIATRIA INFANTILE-1 (AMBULATORIO PSICHIATRICO),STRUTTURA DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,OSPEDALE S.CARLO-VIA PIO II 3,20153,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,896,MUNICIPIO 7,0240221,45.46796,9.18178
55,OSPEDALE SAN PAOLO-POLIAMBULATORIO-1 (POLIAMB. ODONTO BELDILETTO - MILANO),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA BELDILETTO,1/3,20142,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,814,MUNICIPIO 6,0281844688,45.4367114,9.1628515
56,OSPEDALE SAN PAOLO-NEUROPSICHIATRIA INFANTILE-1 (CENTRO DIAGNOSTICA EPILESSIE COMPLESSE),STRUTTURA DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA ANTONIO DI RUDINI',8,20142,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,814,MUNICIPIO 6,0281841,45.4334686,9.1580283
57,CPS 19 - VIA UGO BETTI 189 - MILANO,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA UGO BETTI,189,20151,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,809,MUNICIPIO 8,0233029686,45.4966522,9.1094769
58,SRP3 - CPB 4 - PARABIAGO,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA DON GIOVANNI SPAGLIARDI,17,20015,PARABIAGO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,818,LEGNANO,03311775833,45.5600519,8.9513047
59,U.O.N.P.I.,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA XI FEBBRAIO,31,20015,PARABIAGO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,818,LEGNANO,0331555361,45.5585007,8.9408545
60,SRP3 - CPB 3 - PARABIAGO,COMUNITA' PROTETTA PSICHIATRICA BASSA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA COLLEGIO,14,20015,PARABIAGO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,818,LEGNANO,03311776608,45.5603231,8.9523203
61,CPS - ABBIATEGRASSO - SEMIRESIDENZIALITA',CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA NAZARIO SAURO,3,20081,ABBIATEGRASSO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,801,ABBIATEGRASSO,029486290,45.3944521,8.9120501
62,U.O.N.P.I,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA GIACOMO MATTEOTTI,27,20008,BAREGGIO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,819,MAGENTA,0290361223,45.4765188,8.9941022
63,C.P.S. CUGGIONO - SEMIRESIDENZIALITA',CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE BADI,4,20012,CUGGIONO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,805,CASTANO PRIMO,029733478,45.5097615,8.821516
64,U.O.N.P.I.,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA PAPA GIOVANNI PAOLO II,20025,LEGNANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,818,LEGNANO,0331449264,45.58173,8.88889
65,U.O.N.P.I.,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA AL DONATORE DI SANGUE,50,20013,MAGENTA,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030705,ASST OVEST MILANESE,819,MAGENTA,0297963426,45.4701508,8.8920059
66,C.P.S. 1 CASSINA NUOVA,CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MADONNA,10 BOLLATE,20021,BOLLATE,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,817,GARBAGNATE MILANESE,02994305844,45.5594914,9.1399302
67,OSPEDALE  "G.SALVINI"-POLIAMBULATORIO-1 (POLIAMB.OSPEDALE GARBAGNATE),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIALE CARLO FORLANINI,95,20024,GARBAGNATE MILANESE,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,817,GARBAGNATE MILANESE,02994301,45.58117,9.09089
68,AMBULATORI P.O. PASSIRANA,AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA LUIGI SETTEMBRINI,1,20017,RHO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,823,RHO,02994301,45.54620397,9.04720576
69,UONPIA SEDE AMBULATORIALE CUSANO MILANINO,UNITA' OPERATIVA NEUROPSICHIATRIA INFANZIA E ADOLESCENZA,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA GINESTRA,1,20095,CUSANO MILANINO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030707,ASST NORD MILANO,816,CINISELLO BALSAMO,0257991,45.5530413,9.1867588
